"rgn_id","species_code","year","tonnes"
1,132,2005,16516
1,132,2006,19634
1,132,2007,25855
1,132,2008,23475
1,132,2009,29104
1,132,2010,36356
1,132,2011,37210
1,132,2012,38014
1,133,2003,3211346
1,133,2004,3281883
1,133,2005,3346963
1,133,2006,3403446
1,133,2007,3508934
1,133,2008,3354382
1,133,2009,3503782
1,133,2010,3642829
1,133,2011,3756310
1,133,2012,3948817
1,134,2003,54002
1,134,2004,47580
1,134,2005,43649
1,134,2006,44716
1,134,2007,42257
1,134,2008,42552
1,134,2009,44388
1,134,2010,45313
1,134,2011,41646
1,134,2012,41213
1,135,2007,35000
1,135,2008,36000
1,135,2009,66000
1,135,2010,80000
1,135,2011,115000
1,135,2012,112000
1,136,2003,44723
1,136,2004,53004
1,136,2005,66243
1,136,2006,69296
1,136,2007,61617
1,136,2008,60899
1,136,2009,60210
1,136,2010,56634
1,136,2011,60691
1,136,2012,64554
1,137,2003,23453
1,137,2004,28876
1,137,2005,34039
1,137,2006,41994
1,137,2007,42854
1,137,2008,45213
1,137,2009,44155
1,137,2010,49360
1,137,2011,59534
1,137,2012,72785
1,138,2003,88306
1,138,2004,94935
1,138,2005,97463
1,138,2006,93363
1,138,2007,101529
1,138,2008,113852
1,138,2009,115881
1,138,2010,115829
1,138,2011,121458
1,138,2012,128983
1,139,2003,2229004
1,139,2004,2449007
1,139,2005,2499379
1,139,2006,2639841
1,139,2007,2957346
1,139,2008,3058073
1,139,2009,3192461
1,139,2010,3538906
1,139,2011,3613349
1,139,2012,3735484
1,140,2003,34100
1,140,2004,46648
1,140,2005,57104
1,140,2006,66219
1,140,2007,77517
1,140,2008,92567
1,140,2009,102159
1,140,2010,130303
1,140,2011,137754
1,140,2012,170830
1,141,2003,68588
1,141,2004,70543
1,141,2005,76969
1,141,2006,82803
1,141,2007,100574
1,141,2008,95747
1,141,2009,101971
1,141,2010,105951
1,141,2011,122964
1,141,2012,125836
1,142,2003,23470
1,142,2004,34486
1,142,2005,48180
1,142,2006,32948
1,142,2007,42115
1,142,2008,47405
1,142,2009,62969
1,142,2010,59616
1,142,2011,69749
1,142,2012,63790
1,143,2003,37119
1,143,2004,39524
1,143,2005,35942
